row_id,dname_drug1,dname_drug2,cell_line_name,disease_cui
50,doxorubicin,Erlotinib,HT29,C0338106
51,doxorubicin,Erlotinib,HT29,C0338106
52,doxorubicin,Lapatinib,HT29,C0338106
53,doxorubicin,Lapatinib,HT29,C0338106
54,doxorubicin,Lapatinib,HT29,C0338106
55,doxorubicin,Lapatinib,HT29,C0338106
56,doxorubicin,Sorafenib,HT29,C0338106
57,doxorubicin,Sorafenib,HT29,C0338106
58,doxorubicin,Sorafenib,HT29,C0338106
59,doxorubicin,Sorafenib,HT29,C0338106
60,doxorubicin,Sunitinib,HT29,C0338106
61,doxorubicin,Sunitinib,HT29,C0338106
62,doxorubicin,Sunitinib,HT29,C0338106
63,doxorubicin,Sunitinib,HT29,C0338106
64,doxorubicin,Vorinostat,HT29,C0338106
65,doxorubicin,Vorinostat,HT29,C0338106
66,doxorubicin,Vorinostat,HT29,C0338106
67,doxorubicin,Vorinostat,HT29,C0338106
68,Erlotinib,Bortezomib,HT29,C0338106
69,Erlotinib,Bortezomib,HT29,C0338106
70,Erlotinib,Bortezomib,HT29,C0338106
71,Erlotinib,Bortezomib,HT29,C0338106
72,Erlotinib,Dasatinib,HT29,C0338106
73,Erlotinib,Dasatinib,HT29,C0338106
74,Erlotinib,Dasatinib,HT29,C0338106
75,Erlotinib,Dasatinib,HT29,C0338106
76,Erlotinib,Sorafenib,HT29,C0338106
77,Erlotinib,Sorafenib,HT29,C0338106
78,Erlotinib,Sorafenib,HT29,C0338106
79,Erlotinib,Sorafenib,HT29,C0338106
80,etoposide,Bortezomib,HT29,C0338106
81,etoposide,Bortezomib,HT29,C0338106
82,etoposide,Bortezomib,HT29,C0338106
83,etoposide,Bortezomib,HT29,C0338106
84,etoposide,Dasatinib,HT29,C0338106
85,etoposide,Dasatinib,HT29,C0338106
86,etoposide,Dasatinib,HT29,C0338106
87,etoposide,Dasatinib,HT29,C0338106
88,etoposide,Erlotinib,HT29,C0338106
89,etoposide,Erlotinib,HT29,C0338106
90,etoposide,Erlotinib,HT29,C0338106
91,etoposide,Erlotinib,HT29,C0338106
92,etoposide,Lapatinib,HT29,C0338106
93,etoposide,Lapatinib,HT29,C0338106
94,etoposide,Lapatinib,HT29,C0338106
95,etoposide,Lapatinib,HT29,C0338106
96,etoposide,Sorafenib,HT29,C0338106
97,etoposide,Sorafenib,HT29,C0338106
98,etoposide,Sorafenib,HT29,C0338106
99,etoposide,Sorafenib,HT29,C0338106
100,etoposide,Sunitinib,HT29,C0338106
101,etoposide,Sunitinib,HT29,C0338106
102,etoposide,Sunitinib,HT29,C0338106
103,etoposide,Sunitinib,HT29,C0338106
104,etoposide,Vorinostat,HT29,C0338106
105,etoposide,Vorinostat,HT29,C0338106
106,etoposide,Vorinostat,HT29,C0338106
107,etoposide,Vorinostat,HT29,C0338106
108,gemcitabine,Bortezomib,HT29,C0338106
109,gemcitabine,Bortezomib,HT29,C0338106
110,gemcitabine,Bortezomib,HT29,C0338106
111,gemcitabine,Bortezomib,HT29,C0338106
112,gemcitabine,Dasatinib,HT29,C0338106
113,gemcitabine,Dasatinib,HT29,C0338106
114,gemcitabine,Dasatinib,HT29,C0338106
115,gemcitabine,Dasatinib,HT29,C0338106
116,gemcitabine,Erlotinib,HT29,C0338106
117,gemcitabine,Erlotinib,HT29,C0338106
118,gemcitabine,Erlotinib,HT29,C0338106
119,gemcitabine,Erlotinib,HT29,C0338106
120,gemcitabine,Lapatinib,HT29,C0338106
121,gemcitabine,Lapatinib,HT29,C0338106
122,gemcitabine,Lapatinib,HT29,C0338106
123,gemcitabine,Lapatinib,HT29,C0338106
124,gemcitabine,Sorafenib,HT29,C0338106
125,gemcitabine,Sorafenib,HT29,C0338106
126,gemcitabine,Sorafenib,HT29,C0338106
127,gemcitabine,Sorafenib,HT29,C0338106
128,gemcitabine,Sunitinib,HT29,C0338106
129,gemcitabine,Sunitinib,HT29,C0338106
130,gemcitabine,Sunitinib,HT29,C0338106
131,gemcitabine,Sunitinib,HT29,C0338106
132,Lapatinib,Bortezomib,HT29,C0338106
133,Lapatinib,Bortezomib,HT29,C0338106
134,Lapatinib,Bortezomib,HT29,C0338106
135,Lapatinib,Bortezomib,HT29,C0338106
136,Lapatinib,Dasatinib,HT29,C0338106
137,Lapatinib,Dasatinib,HT29,C0338106
138,Lapatinib,Dasatinib,HT29,C0338106
139,Lapatinib,Dasatinib,HT29,C0338106
140,Lapatinib,Erlotinib,HT29,C0338106
141,Lapatinib,Erlotinib,HT29,C0338106
142,Lapatinib,Erlotinib,HT29,C0338106
143,Lapatinib,Erlotinib,HT29,C0338106
144,Lapatinib,Sorafenib,HT29,C0338106
145,Lapatinib,Sorafenib,HT29,C0338106
146,Lapatinib,Sorafenib,HT29,C0338106
147,Lapatinib,Sorafenib,HT29,C0338106
148,metformin,Bortezomib,HT29,C0338106
149,metformin,Bortezomib,HT29,C0338106
150,metformin,Bortezomib,HT29,C0338106
151,metformin,Bortezomib,HT29,C0338106
152,metformin,Dasatinib,HT29,C0338106
153,metformin,Dasatinib,HT29,C0338106
154,metformin,Dasatinib,HT29,C0338106
155,metformin,Dasatinib,HT29,C0338106
156,metformin,Erlotinib,HT29,C0338106
157,metformin,Erlotinib,HT29,C0338106
158,metformin,Erlotinib,HT29,C0338106
159,metformin,Erlotinib,HT29,C0338106
160,metformin,Lapatinib,HT29,C0338106
161,metformin,Lapatinib,HT29,C0338106
162,metformin,Lapatinib,HT29,C0338106
163,metformin,Lapatinib,HT29,C0338106
164,metformin,Sorafenib,HT29,C0338106
165,metformin,Sorafenib,HT29,C0338106
166,metformin,Sorafenib,HT29,C0338106
167,metformin,Sorafenib,HT29,C0338106
168,metformin,Sunitinib,HT29,C0338106
169,metformin,Sunitinib,HT29,C0338106
170,metformin,Sunitinib,HT29,C0338106
171,metformin,Sunitinib,HT29,C0338106
172,metformin,Vorinostat,HT29,C0338106
173,metformin,Vorinostat,HT29,C0338106
174,metformin,Vorinostat,HT29,C0338106
175,metformin,Vorinostat,HT29,C0338106
176,Sunitinib,Bortezomib,HT29,C0338106
177,Sunitinib,Bortezomib,HT29,C0338106
178,Sunitinib,Bortezomib,HT29,C0338106
179,Sunitinib,Bortezomib,HT29,C0338106
180,Sunitinib,Dasatinib,HT29,C0338106
181,Sunitinib,Dasatinib,HT29,C0338106
182,Sunitinib,Dasatinib,HT29,C0338106
183,Sunitinib,Dasatinib,HT29,C0338106
184,Sunitinib,Erlotinib,HT29,C0338106
185,Sunitinib,Erlotinib,HT29,C0338106
186,Sunitinib,Erlotinib,HT29,C0338106
187,Sunitinib,Erlotinib,HT29,C0338106
188,Sunitinib,Lapatinib,HT29,C0338106
189,Sunitinib,Lapatinib,HT29,C0338106
190,Sunitinib,Lapatinib,HT29,C0338106
191,Sunitinib,Lapatinib,HT29,C0338106
192,Sunitinib,Sorafenib,HT29,C0338106
193,Sunitinib,Sorafenib,HT29,C0338106
194,Sunitinib,Sorafenib,HT29,C0338106
195,Sunitinib,Sorafenib,HT29,C0338106
196,Vorinostat,Bortezomib,HT29,C0338106
197,Vorinostat,Bortezomib,HT29,C0338106
198,Vorinostat,Bortezomib,HT29,C0338106
199,Vorinostat,Bortezomib,HT29,C0338106
200,Vorinostat,Dasatinib,HT29,C0338106
201,Vorinostat,Dasatinib,HT29,C0338106
202,Vorinostat,Dasatinib,HT29,C0338106
203,Vorinostat,Dasatinib,HT29,C0338106
204,Vorinostat,Erlotinib,HT29,C0338106
205,Vorinostat,Erlotinib,HT29,C0338106
206,Vorinostat,Erlotinib,HT29,C0338106
207,Vorinostat,Erlotinib,HT29,C0338106
208,Vorinostat,gemcitabine,HT29,C0338106
209,Vorinostat,gemcitabine,HT29,C0338106
210,Vorinostat,gemcitabine,HT29,C0338106
211,Vorinostat,gemcitabine,HT29,C0338106
212,Vorinostat,Lapatinib,HT29,C0338106
213,Vorinostat,Lapatinib,HT29,C0338106
214,Vorinostat,Lapatinib,HT29,C0338106
215,Vorinostat,Lapatinib,HT29,C0338106
216,Vorinostat,Sorafenib,HT29,C0338106
217,Vorinostat,Sorafenib,HT29,C0338106
218,Vorinostat,Sorafenib,HT29,C0338106
219,Vorinostat,Sorafenib,HT29,C0338106
220,Vorinostat,Sunitinib,HT29,C0338106
221,Vorinostat,Sunitinib,HT29,C0338106
222,Vorinostat,Sunitinib,HT29,C0338106
223,Vorinostat,Sunitinib,HT29,C0338106
224,Dasatinib,Sorafenib,LNCAP,C0600139
225,Dasatinib,Sorafenib,LNCAP,C0600139
226,Dasatinib,Sorafenib,LNCAP,C0600139
227,Dasatinib,Sorafenib,LNCAP,C0600139
228,Lapatinib,Dasatinib,LNCAP,C0600139
229,Lapatinib,Dasatinib,LNCAP,C0600139
230,Lapatinib,Dasatinib,LNCAP,C0600139
231,Lapatinib,Dasatinib,LNCAP,C0600139
232,Lapatinib,Sorafenib,LNCAP,C0600139
233,Lapatinib,Sorafenib,LNCAP,C0600139
234,Lapatinib,Sorafenib,LNCAP,C0600139
235,Lapatinib,Sorafenib,LNCAP,C0600139
236,hydroxyurea,Nilotinib,HT29,C0338106
237,Romidepsin,Ixabepilone,MCF7,C1134719
238,anastrozole,Vorinostat,MCF7,C1134719
239,Vorinostat,Lapatinib,MCF7,C1134719
240,Pralatrexate,6-Mercaptopurine,HT29,C0338106
241,Vorinostat,Sorafenib,MCF7,C1134719
242,raloxifene,hydroxyurea,HT29,C0338106
243,raloxifene,mitoxantrone,HT29,C0338106
244,Lapatinib,6-Mercaptopurine,MCF7,C1134719
245,Sunitinib,Ixabepilone,HT29,C0338106
246,Sorafenib,Pralatrexate,HT29,C0338106
247,IMIQUIMOD,Bortezomib,HT29,C0338106
248,Romidepsin,IMIQUIMOD,MCF7,C1134719
249,anastrozole,Bortezomib,HT29,C0338106
250,Dasatinib,Sorafenib,MCF7,C1134719
251,Imatinib,Ixabepilone,HT29,C0338106
252,Imatinib,Ixabepilone,MCF7,C1134719
253,Nilotinib,Sunitinib,MCF7,C1134719
254,6-Mercaptopurine,Bortezomib,MCF7,C1134719
255,Nilotinib,Sunitinib,A549,C0152013
256,celecoxib,Dasatinib,HT29,C0338106
257,hydroxyurea,Sorafenib,HT29,C0338106
258,Vorinostat,Sorafenib,HT29,C0338106
259,letrozole,IMIQUIMOD,MCF7,C1134719
260,letrozole,IMIQUIMOD,HT29,C0338106
261,Lapatinib,Ixabepilone,MCF7,C1134719
262,raloxifene,6-Mercaptopurine,MCF7,C1134719
263,Imatinib,thalidomide,HT29,C0338106
264,hydroxyurea,Ixabepilone,MCF7,C1134719
265,celecoxib,thalidomide,HT29,C0338106
266,6-Mercaptopurine,allopurinol,HT29,C0338106
267,letrozole,Nilotinib,MCF7,C1134719
268,raloxifene,hydroxyurea,MCF7,C1134719
269,raloxifene,IMIQUIMOD,HT29,C0338106
270,raloxifene,letrozole,HT29,C0338106
271,raloxifene,Vemurafenib,MCF7,C1134719
272,Dasatinib,6-Mercaptopurine,HT29,C0338106
273,letrozole,Vorinostat,HT29,C0338106
274,Sorafenib,6-Mercaptopurine,HT29,C0338106
275,raloxifene,Imatinib,HT29,C0338106
276,Nilotinib,Sunitinib,HT29,C0338106
277,Imatinib,6-Mercaptopurine,HT29,C0338106
278,Dasatinib,thalidomide,HT29,C0338106
279,Nilotinib,anastrozole,MCF7,C1134719
280,Romidepsin,allopurinol,MCF7,C1134719
281,hydroxyurea,thalidomide,MCF7,C1134719
282,Nilotinib,Lapatinib,MCF7,C1134719
283,raloxifene,Sunitinib,HT29,C0338106
284,Romidepsin,Sunitinib,MCF7,C1134719
285,Dasatinib,allopurinol,HT29,C0338106
286,raloxifene,celecoxib,MCF7,C1134719
287,Vorinostat,allopurinol,HT29,C0338106
288,Nilotinib,Pralatrexate,MCF7,C1134719
289,Nilotinib,Ixabepilone,MCF7,C1134719
290,Dasatinib,Sunitinib,MCF7,C1134719
291,Sorafenib,6-Mercaptopurine,MCF7,C1134719
292,Pralatrexate,allopurinol,MCF7,C1134719
293,Vorinostat,Bortezomib,MCF7,C1134719
294,Imatinib,hydroxyurea,MCF7,C1134719
295,Imatinib,Nilotinib,HT29,C0338106
296,raloxifene,Lapatinib,HT29,C0338106
297,Pralatrexate,Ixabepilone,MCF7,C1134719
298,letrozole,Dasatinib,HT29,C0338106
299,Romidepsin,6-Mercaptopurine,MCF7,C1134719
300,allopurinol,thalidomide,HT29,C0338106
301,Pralatrexate,IMIQUIMOD,HT29,C0338106
302,Dasatinib,IMIQUIMOD,HT29,C0338106
303,6-Mercaptopurine,Bortezomib,HT29,C0338106
304,Sunitinib,allopurinol,HT29,C0338106
305,raloxifene,Ruxolitinib,HT29,C0338106
306,Nilotinib,Ixabepilone,HT29,C0338106
307,Imatinib,Lapatinib,A549,C0152013
308,Nilotinib,Dasatinib,A549,C0152013
309,Vorinostat,hydroxyurea,MCF7,C1134719
310,raloxifene,Dasatinib,HT29,C0338106
311,Imatinib,Sunitinib,HT29,C0338106
312,Lapatinib,Pralatrexate,HT29,C0338106
313,anastrozole,Bortezomib,MCF7,C1134719
314,Lapatinib,Sunitinib,MCF7,C1134719
315,anastrozole,Pralatrexate,HT29,C0338106
316,celecoxib,Bortezomib,MCF7,C1134719
317,letrozole,allopurinol,MCF7,C1134719
318,Romidepsin,Lapatinib,HT29,C0338106
319,Sorafenib,thalidomide,HT29,C0338106
320,letrozole,allopurinol,HT29,C0338106
321,Nilotinib,Vorinostat,HT29,C0338106
322,Vorinostat,anastrozole,HT29,C0338106
323,anastrozole,Pralatrexate,MCF7,C1134719
324,letrozole,Bortezomib,HT29,C0338106
325,Lapatinib,Sorafenib,A549,C0152013
326,Dasatinib,hydroxyurea,MCF7,C1134719
327,Sorafenib,Bortezomib,HT29,C0338106
328,Pralatrexate,Ixabepilone,HT29,C0338106
329,Nilotinib,Lapatinib,HT29,C0338106
330,raloxifene,Ruxolitinib,MCF7,C1134719
331,6-Mercaptopurine,Nilotinib,HT29,C0338106
332,Sunitinib,Sorafenib,HT29,C0338106
333,Pralatrexate,thalidomide,MCF7,C1134719
334,5-Fluorouracil,Dasatinib,HT29,C0338106
335,Sunitinib,IMIQUIMOD,MCF7,C1134719
336,Lapatinib,anastrozole,HT29,C0338106
337,Vorinostat,Pralatrexate,HT29,C0338106
338,Vorinostat,Lapatinib,HT29,C0338106
339,Imatinib,Pralatrexate,HT29,C0338106
340,Vorinostat,hydroxyurea,HT29,C0338106
341,allopurinol,Bortezomib,MCF7,C1134719
342,Nilotinib,Vorinostat,A549,C0152013
343,hydroxyurea,Nilotinib,MCF7,C1134719
344,Vorinostat,Bortezomib,HT29,C0338106
345,Imatinib,hydroxyurea,HT29,C0338106
346,Sunitinib,IMIQUIMOD,HT29,C0338106
347,6-Mercaptopurine,thalidomide,MCF7,C1134719
348,raloxifene,6-Mercaptopurine,HT29,C0338106
349,raloxifene,Sorafenib,MCF7,C1134719
350,letrozole,Pralatrexate,HT29,C0338106
351,6-Mercaptopurine,Nilotinib,MCF7,C1134719
352,letrozole,Imatinib,MCF7,C1134719
353,Dasatinib,Sunitinib,HT29,C0338106
354,Vorinostat,6-Mercaptopurine,HT29,C0338106
355,celecoxib,Dasatinib,MCF7,C1134719
356,Vorinostat,Sunitinib,HT29,C0338106
357,Pralatrexate,6-Mercaptopurine,MCF7,C1134719
358,celecoxib,Sunitinib,MCF7,C1134719
359,Nilotinib,Bortezomib,MCF7,C1134719
360,thalidomide,IMIQUIMOD,HT29,C0338106
361,raloxifene,Imatinib,MCF7,C1134719
362,hydroxyurea,Sorafenib,MCF7,C1134719
363,Dasatinib,Pralatrexate,MCF7,C1134719
364,anastrozole,Vorinostat,HT29,C0338106
365,letrozole,Romidepsin,HT29,C0338106
366,raloxifene,allopurinol,MCF7,C1134719
367,letrozole,Vorinostat,MCF7,C1134719
368,Dasatinib,Bortezomib,MCF7,C1134719
369,hydroxyurea,IMIQUIMOD,MCF7,C1134719
370,Imatinib,Romidepsin,HT29,C0338106
371,Romidepsin,Dasatinib,MCF7,C1134719
372,Imatinib,anastrozole,MCF7,C1134719
373,Lapatinib,hydroxyurea,HT29,C0338106
374,mitoxantrone,Dasatinib,MCF7,C1134719
375,Nilotinib,Dasatinib,HT29,C0338106
376,raloxifene,IMIQUIMOD,MCF7,C1134719
377,Dasatinib,Sunitinib,A549,C0152013
378,Romidepsin,Bortezomib,MCF7,C1134719
379,Imatinib,IMIQUIMOD,MCF7,C1134719
380,Sorafenib,thalidomide,MCF7,C1134719
381,Lapatinib,IMIQUIMOD,MCF7,C1134719
382,raloxifene,Pralatrexate,HT29,C0338106
383,celecoxib,Nilotinib,HT29,C0338106
384,celecoxib,Pralatrexate,MCF7,C1134719
385,celecoxib,IMIQUIMOD,MCF7,C1134719
386,Dasatinib,anastrozole,MCF7,C1134719
387,Imatinib,Vorinostat,HT29,C0338106
388,celecoxib,Lapatinib,HT29,C0338106
389,celecoxib,Nilotinib,MCF7,C1134719
390,celecoxib,hydroxyurea,HT29,C0338106
391,Dasatinib,Ixabepilone,HT29,C0338106
392,letrozole,Lapatinib,HT29,C0338106
393,letrozole,celecoxib,MCF7,C1134719
394,Romidepsin,Lapatinib,MCF7,C1134719
395,letrozole,Sorafenib,HT29,C0338106
396,Sorafenib,Bortezomib,MCF7,C1134719
397,Imatinib,allopurinol,MCF7,C1134719
398,celecoxib,allopurinol,MCF7,C1134719
399,Romidepsin,Vorinostat,HT29,C0338106
400,mitoxantrone,Dasatinib,HT29,C0338106
401,Dasatinib,Lapatinib,HT29,C0338106
402,allopurinol,Ixabepilone,MCF7,C1134719
403,Dasatinib,6-Mercaptopurine,MCF7,C1134719
404,raloxifene,Vemurafenib,HT29,C0338106
405,celecoxib,Romidepsin,HT29,C0338106
406,Vorinostat,Dasatinib,A549,C0152013
407,6-Mercaptopurine,IMIQUIMOD,MCF7,C1134719
408,raloxifene,Gefitinib,HT29,C0338106
409,Imatinib,thalidomide,MCF7,C1134719
410,Nilotinib,anastrozole,HT29,C0338106
411,Lenalidomide,Dasatinib,MCF7,C1134719
412,Vorinostat,thalidomide,HT29,C0338106
413,Romidepsin,thalidomide,HT29,C0338106
414,raloxifene,Ixabepilone,HT29,C0338106
415,hydroxyurea,Bortezomib,HT29,C0338106
416,Pralatrexate,IMIQUIMOD,MCF7,C1134719
417,celecoxib,IMIQUIMOD,HT29,C0338106
418,letrozole,Lapatinib,MCF7,C1134719
419,Sunitinib,Sorafenib,A549,C0152013
420,anastrozole,Ixabepilone,MCF7,C1134719
421,letrozole,Sorafenib,MCF7,C1134719
422,anastrozole,6-Mercaptopurine,HT29,C0338106
423,hydroxyurea,allopurinol,MCF7,C1134719
424,raloxifene,Crizotinib,HT29,C0338106
425,Nilotinib,allopurinol,MCF7,C1134719
426,Imatinib,Dasatinib,A549,C0152013
427,Sunitinib,Sorafenib,MCF7,C1134719
428,raloxifene,Vismodegib,MCF7,C1134719
429,celecoxib,Imatinib,HT29,C0338106
430,Sunitinib,anastrozole,MCF7,C1134719
431,celecoxib,Imatinib,MCF7,C1134719
432,Dasatinib,Bortezomib,HT29,C0338106
433,raloxifene,Sorafenib,HT29,C0338106
434,Sunitinib,hydroxyurea,HT29,C0338106
435,Lapatinib,Sorafenib,MCF7,C1134719
436,Nilotinib,Lapatinib,A549,C0152013
437,Romidepsin,Sunitinib,HT29,C0338106
438,Sunitinib,6-Mercaptopurine,MCF7,C1134719
439,anastrozole,IMIQUIMOD,HT29,C0338106
440,Lapatinib,Pralatrexate,MCF7,C1134719
441,raloxifene,celecoxib,HT29,C0338106
442,raloxifene,mitoxantrone,MCF7,C1134719
443,thalidomide,IMIQUIMOD,MCF7,C1134719
444,Dasatinib,Sorafenib,A549,C0152013
445,6-Mercaptopurine,Ixabepilone,HT29,C0338106
446,Dasatinib,thalidomide,MCF7,C1134719
447,Sunitinib,hydroxyurea,MCF7,C1134719
448,Lapatinib,Sunitinib,HT29,C0338106
449,Imatinib,Dasatinib,HT29,C0338106
450,Romidepsin,Bortezomib,HT29,C0338106
451,hydroxyurea,anastrozole,MCF7,C1134719
452,letrozole,hydroxyurea,MCF7,C1134719
453,thalidomide,Ixabepilone,MCF7,C1134719
454,letrozole,Pralatrexate,MCF7,C1134719
455,5-Fluorouracil,Dasatinib,MCF7,C1134719
456,Lapatinib,allopurinol,HT29,C0338106
457,letrozole,6-Mercaptopurine,HT29,C0338106
458,Vorinostat,Pralatrexate,MCF7,C1134719
459,raloxifene,Vorinostat,MCF7,C1134719
460,Romidepsin,Pralatrexate,HT29,C0338106
461,raloxifene,Lenalidomide,MCF7,C1134719
462,Imatinib,Sorafenib,HT29,C0338106
463,Romidepsin,Vorinostat,MCF7,C1134719
464,Sunitinib,Bortezomib,HT29,C0338106
465,Lapatinib,6-Mercaptopurine,HT29,C0338106
466,raloxifene,Vandetanib,MCF7,C1134719
467,Sunitinib,Pralatrexate,HT29,C0338106
468,Imatinib,Vorinostat,A549,C0152013
469,Sorafenib,Ixabepilone,HT29,C0338106
470,Sunitinib,allopurinol,MCF7,C1134719
471,raloxifene,anastrozole,MCF7,C1134719
472,raloxifene,Bortezomib,HT29,C0338106
473,hydroxyurea,anastrozole,HT29,C0338106
474,Lapatinib,Bortezomib,MCF7,C1134719
475,hydroxyurea,IMIQUIMOD,HT29,C0338106
476,raloxifene,Gefitinib,MCF7,C1134719
477,raloxifene,letrozole,MCF7,C1134719
478,Lapatinib,allopurinol,MCF7,C1134719
479,Imatinib,IMIQUIMOD,HT29,C0338106
480,Lapatinib,Ixabepilone,HT29,C0338106
481,Sorafenib,anastrozole,MCF7,C1134719
482,Nilotinib,Pralatrexate,HT29,C0338106
483,Nilotinib,Romidepsin,HT29,C0338106
484,Sorafenib,IMIQUIMOD,HT29,C0338106
485,Nilotinib,IMIQUIMOD,HT29,C0338106
486,anastrozole,IMIQUIMOD,MCF7,C1134719
487,celecoxib,Bortezomib,HT29,C0338106
488,Romidepsin,hydroxyurea,MCF7,C1134719
489,Dasatinib,Pralatrexate,HT29,C0338106
490,Pralatrexate,Bortezomib,HT29,C0338106
491,Imatinib,Sorafenib,A549,C0152013
492,letrozole,hydroxyurea,HT29,C0338106
493,Nilotinib,Dasatinib,MCF7,C1134719
494,Sunitinib,Pralatrexate,MCF7,C1134719
495,Vorinostat,thalidomide,MCF7,C1134719
496,Nilotinib,thalidomide,HT29,C0338106
497,letrozole,Nilotinib,HT29,C0338106
498,Imatinib,Nilotinib,A549,C0152013
499,Lapatinib,IMIQUIMOD,HT29,C0338106
500,Nilotinib,Sorafenib,MCF7,C1134719
501,Pralatrexate,thalidomide,HT29,C0338106
502,celecoxib,6-Mercaptopurine,MCF7,C1134719
503,raloxifene,Ixabepilone,MCF7,C1134719
504,Vorinostat,Ixabepilone,HT29,C0338106
505,allopurinol,thalidomide,MCF7,C1134719
506,Dasatinib,IMIQUIMOD,MCF7,C1134719
507,Sorafenib,allopurinol,MCF7,C1134719
508,Imatinib,allopurinol,HT29,C0338106
509,raloxifene,Sunitinib,MCF7,C1134719
510,raloxifene,Crizotinib,MCF7,C1134719
511,Lapatinib,thalidomide,HT29,C0338106
512,Lapatinib,hydroxyurea,MCF7,C1134719
513,Gefitinib,Dasatinib,A549,C0152013
514,letrozole,anastrozole,MCF7,C1134719
515,Sunitinib,thalidomide,HT29,C0338106
516,Imatinib,Lapatinib,HT29,C0338106
517,6-Mercaptopurine,allopurinol,MCF7,C1134719
518,celecoxib,Sorafenib,MCF7,C1134719
519,Vorinostat,Ixabepilone,MCF7,C1134719
520,anastrozole,allopurinol,HT29,C0338106
521,celecoxib,Sunitinib,HT29,C0338106
522,Vorinostat,IMIQUIMOD,HT29,C0338106
523,letrozole,Ixabepilone,HT29,C0338106
524,raloxifene,anastrozole,HT29,C0338106
525,Ixabepilone,Bortezomib,MCF7,C1134719
526,Gefitinib,Dasatinib,MCF7,C1134719
527,celecoxib,thalidomide,MCF7,C1134719
528,Sorafenib,Ixabepilone,MCF7,C1134719
529,Nilotinib,Sorafenib,HT29,C0338106
530,hydroxyurea,6-Mercaptopurine,MCF7,C1134719
531,celecoxib,Ixabepilone,MCF7,C1134719
532,Imatinib,anastrozole,HT29,C0338106
533,Romidepsin,anastrozole,HT29,C0338106
534,Vorinostat,Sunitinib,A549,C0152013
535,anastrozole,Nilotinib,MCF7,C1134719
536,Romidepsin,IMIQUIMOD,HT29,C0338106
537,thalidomide,Bortezomib,MCF7,C1134719
538,Dasatinib,Sorafenib,HT29,C0338106
539,letrozole,Romidepsin,MCF7,C1134719
540,anastrozole,thalidomide,HT29,C0338106
541,Sorafenib,anastrozole,HT29,C0338106
542,Vorinostat,allopurinol,MCF7,C1134719
543,hydroxyurea,6-Mercaptopurine,HT29,C0338106
544,anastrozole,6-Mercaptopurine,MCF7,C1134719
545,celecoxib,Lapatinib,MCF7,C1134719
546,raloxifene,Nilotinib,MCF7,C1134719
547,raloxifene,Romidepsin,HT29,C0338106
548,raloxifene,Vismodegib,HT29,C0338106
549,Sorafenib,IMIQUIMOD,MCF7,C1134719
